Notice,Created,MinTradeSize,IsSponsored,BaseCurrencyLong,MarketName,IsActive,LogoUrl,MarketCurrencyLong,BaseCurrency,MarketCurrency
None,2014-02-13T00:00:00,0.02663019,None,Bitcoin,BTC-LTC,True,https://bittrexblobstorage.blob.core.windows.net/public/6defbc41-582d-47a6-bb2e-d0fa88663524.png,Litecoin,BTC,LTC
None,2014-02-13T00:00:00,1111.11111111,None,Bitcoin,BTC-DOGE,True,https://bittrexblobstorage.blob.core.windows.net/public/a2b8eaee-2905-4478-a7a0-246f212c64c6.png,Dogecoin,BTC,DOGE
None,2014-02-13T00:00:00,1.00036013,None,Bitcoin,BTC-VTC,True,https://bittrexblobstorage.blob.core.windows.net/public/1f0317bc-c44b-4ea4-8a89-b9a71f3349c8.png,Vertcoin,BTC,VTC
None,2014-02-13T00:00:00,1.72425685,None,Bitcoin,BTC-PPC,True,https://bittrex.com/Content/img/symbols/BTC.png,Peercoin,BTC,PPC
None,2014-02-13T00:00:00,20.9117524,None,Bitcoin,BTC-FTC,True,https://bittrexblobstorage.blob.core.windows.net/public/a69f83f0-112c-4d98-8e14-5e0e9be47404.png,Feathercoin,BTC,FTC
None,2014-02-25T09:00:00,793.65079365,None,Bitcoin,BTC-RDD,True,https://bittrexblobstorage.blob.core.windows.net/public/4b7ce5a5-8c12-4741-86f2-3a48cb55c91a.png,ReddCoin,BTC,RDD
None,2014-03-03T09:00:00,5.66187295,None,Bitcoin,BTC-NXT,True,https://bittrexblobstorage.blob.core.windows.net/public/443d492d-4f8b-4a2d-a613-1b37e4ab80cd.png,NXT,BTC,NXT
None,2014-03-11T08:00:00,0.00595497,None,Bitcoin,BTC-DASH,True,https://bittrexblobstorage.blob.core.windows.net/public/49993d38-d344-4197-b449-c50c3cc13d47.png,Dash,BTC,DASH
None,2014-03-11T08:00:00,23.85496183,None,Bitcoin,BTC-POT,True,https://bittrexblobstorage.blob.core.windows.net/public/149a1a49-3cca-461b-a8e4-8ea8409c27bd.png,PotCoin,BTC,POT
None,2014-03-14T09:00:00,14.85001485,False,Bitcoin,BTC-BLK,True,https://bittrexblobstorage.blob.core.windows.net/public/c3409d42-a907-4764-ad03-118917761cc2.png,BlackCoin,BTC,BLK
